,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE
1,n-n-2,etcoord,1,12,13,75,2.218361041617437,2.1765424857716424,0.43328,-0.42296,-0.42306,0.13998,9.999999999998899e-05,0.041818555845794414,-1163.35820269
2,n-n-3,etcoord,1,12,13,75,2.2206987055746668,2.1771811422858227,0.43256,-0.42613,-0.42343,0.15455,-0.0027000000000000357,0.04351756328884404,-1048.84930359
3,n-n-4,etcoord,1,12,13,75,2.169009734521494,2.222794423831633,0.43892,-0.42652,-0.44451,0.14899,0.017990000000000006,-0.05378468931013902,-1284.63175313
4,n-n-5,etcoord,1,2,12,77,2.2399531725408903,2.171193213494828,0.43269,-0.42869,-0.42842,0.17159,-0.00026999999999999247,0.06875995904606214,-1008.38509933
5,p-p-1,etcoord,59,7,8,84,2.4476340505727157,2.3555494462074025,-0.0205,1.08424,1.20096,0.17012,-0.11671999999999993,0.09208460436531318,-2124.51019082
7,p-p-3,etcoord,78,10,11,88,2.3664785729029956,2.471391671001786,0.01276,1.16799,1.07623,0.16903,0.09176000000000006,-0.10491309809879024,-2621.83603407
8,p-p-4,etcoord,65,25,26,95,2.356593453779629,2.464848762127405,-0.0385,1.13721,1.0653,0.15753,0.07191000000000014,-0.10825530834777597,-2053.12948619
9,p-so-1,etcoord,34,1,5,88,2.5236518907618777,2.155229725352033,0.302,1.05069,-0.95333,0.17235,2.0040199999999997,0.36842216540984474,-2325.43540766
6,p-p-2,etcoord,1,2,3,87,2.3581535553862896,2.4830039598800484,-0.01088,1.14941,1.07502,0.16995,0.07438999999999996,-0.12485040449375884,-2163.80298194
11,p-so-11,etcoord,30,1,5,90,2.5666825824747006,2.160160924728063,0.33071,1.0031,-0.96969,0.16637000000000002,1.9727900000000003,0.40652165774663773,-2556.38852974
12,p-so-12,etcoord,30,1,5,90,2.5613072032446635,2.1579575351357128,0.33307,1.00566,-0.96958,0.15906,1.9752399999999999,0.4033496681089508,-2670.89833924
18,p-so-3,etcoord,35,1,5,87,2.5773951696208712,2.1111210184008873,0.32772,1.02599,-0.97546,0.16901,2.00145,0.46627415121998395,-2404.04096871
13,p-so-13,etcoord,22,1,5,84,2.568903436871265,2.229305030608866,0.29882,1.02496,-0.95472,0.1738,1.97968,0.3395984062623989,-2100.03698435
14,p-so-14,etcoord,14,1,5,82,2.562338577389998,2.159071790231395,0.2841,1.0306,-0.95646,0.17526999999999998,1.98706,0.4032667871586031,-2103.66853672
15,p-so-15,etcoord,14,1,5,86,2.6057508912259824,2.188458486645566,0.29408,1.00202,-0.9535,0.17734,1.95552,0.4172924045804165,-1870.28739932
16,p-so-16,etcoord,50,19,67,89,2.5214667940175217,2.1493381384737953,0.32111,1.05596,-0.95686,0.16197999999999999,2.01282,0.3721286555437264,-2603.67313337
17,p-so-2,etcoord,36,1,5,87,2.5226732991533014,2.145965347829736,0.31063,1.04166,-0.95806,0.17209,1.99972,0.3767079513235654,-2096.41969552
10,p-so-10,etcoord,30,1,5,89,2.5300944044135982,2.1308598190115653,0.31363,1.03633,-0.95503,0.17403999999999997,1.99136,0.39923458540203294,-2325.43364672
68,pcpo-3,nocoord,1,2,60,84,2.456766697933282,2.084669888891764,0.36319,1.00377,-1.03428,0.16136,2.03805,0.37209680904151776,-2160.48641097
67,pcpo-2,nocoord,1,2,60,88,2.470235334201784,2.097339512262619,0.37023,1.00022,-1.03742,0.16150000000000003,2.03764,0.3728958219391654,-2121.18676607
63,p-so-7,nocoord,33,1,5,92,2.449121861848855,2.068802183582567,0.36181,0.99715,-0.92503,0.16385,1.92218,0.38031967826628765,-2096.43879984
65,p-so-9,nocoord,32,1,5,91,2.4439894258269614,2.073855535206587,0.34966,1.03372,-0.92314,0.15653,1.9568599999999998,0.3701338906203744,-2246.86588528
64,p-so-8,nocoord,34,1,5,92,2.471977590624357,2.0743840156068014,0.3936,1.01948,-0.93047,0.15928,1.9499499999999999,0.39759357501755543,-2475.86960313
69,pnpo-1,nocoord,77,1,2,86,2.4796344411789812,2.115228141084077,0.40412,1.19148,-1.03763,0.12958000000000003,2.2291100000000004,0.36440630009490427,-2691.85298619
66,pcpo-1,nocoord,1,2,60,87,2.4717015111594685,2.10902437995605,0.36223,1.00062,-1.03557,0.16377999999999998,2.0361900000000004,0.3626771312034185,-2081.89043301
70,pnpo-10,nocoord,58,1,2,88,2.494281462533248,2.110297005501358,0.41819,1.1669,-1.05353,0.15164,2.2204300000000003,0.38398445703189,-2903.39156038
79,pnpo-7,nocoord,58,1,2,83,2.46108588578355,2.1054860145061522,0.37388,1.20954,-1.03299,0.16344999999999998,2.2425300000000004,0.35559987127739756,-2328.91362336
72,pnpo-12,nocoord,58,1,2,87,2.4999384724206717,2.1095076287145775,0.42168,1.16403,-1.05742,0.14250000000000002,2.22145,0.39043084370609416,-3017.90108875
73,pnpo-13,nocoord,58,1,2,87,2.4904614180530884,2.105834784604196,0.42229,1.16889,-1.05781,0.12549,2.2267,0.38462663344889236,-3037.31749237
74,pnpo-2,nocoord,58,1,2,85,2.4389920352672334,2.1096681273747775,0.41588,1.19658,-1.04743,0.12738,2.2440100000000003,0.3293239078924559,-2922.81260143
75,pnpo-3,nocoord,68,1,2,84,2.4371931978919927,2.092903639709196,0.3956,1.21302,-1.0452,0.15256000000000003,2.2582199999999997,0.3442895581827967,-2672.43700502
76,pnpo-4,nocoord,68,1,2,85,2.435087735594141,2.0922477151699796,0.39735,1.21866,-1.04545,0.13104,2.26411,0.3428400204241613,-2920.86536798
77,pnpo-5,nocoord,68,1,2,86,2.483561682439355,2.116509601998063,0.40636,1.19144,-1.03616,0.16154000000000002,2.2276,0.367052080441292,-2557.92846335
78,pnpo-6,nocoord,58,1,2,83,2.4593183064387985,2.1025252565667314,0.37245,1.21021,-1.03431,0.15330999999999997,2.24452,0.35679304987206706,-2443.42238512
62,p-so-6,nocoord,26,1,5,88,2.4522637109497416,2.0896136573218507,0.37592,1.01522,-0.94169,0.16332,1.9569100000000001,0.36265005362789093,-2094.50364873
71,pnpo-11,nocoord,58,1,2,87,2.4937470958156522,2.105725485453885,0.4194,1.16727,-1.05558,0.15388000000000002,2.22285,0.3880216103617671,-2946.06951949
61,p-so-5,nocoord,33,1,6,82,2.435498319146618,2.087429853005844,0.3313,1.01286,-0.9245,0.15929,1.93736,0.348068466140774,-2135.74332594
51,p-so-10,nocoord,34,1,5,91,2.450431717892584,2.0774251139352775,0.37271,1.02339,-0.92524,0.16279,1.94863,0.37300660395730656,-2246.85968341
59,p-so-3,nocoord,34,1,5,92,2.436920435299848,2.0733909416735665,0.36664,1.02116,-0.92906,0.16216,1.95022,0.3635294936262814,-2325.45997441
80,pnpo-8,nocoord,58,1,2,86,2.485678489401636,2.1196374405451985,0.40741,1.18982,-1.03645,0.16205000000000003,2.2262700000000004,0.3660410488564376,-2895.00701623
41,n-n-1,nocoord,1,12,13,77,2.1899370153173354,2.0699492710668057,0.45674,-0.44516,-0.39852,0.13318,-0.046640000000000015,0.11998774425052972,-1045.51434726
42,n-n-2,nocoord,1,12,13,77,2.1703263732549534,2.0721118980537705,0.49421,-0.41997,-0.3975,0.13923,-0.02246999999999999,0.09821447520118287,-1084.79387781
43,n-n-3,nocoord,1,12,13,77,2.17737368702274,2.074869566423875,0.49349,-0.4217,-0.39797,0.15312000000000003,-0.02373000000000003,0.10250412059886482,-970.286056272
44,n-n-4,nocoord,1,12,13,77,2.166085787702094,2.0744752014109498,0.48133,-0.43169,-0.39668,0.14574,-0.03501000000000004,0.09161058629114427,-1206.0679086
45,n-n-5,nocoord,1,2,12,79,2.181435402661743,2.08130218142633,0.4933,-0.4337,-0.40167,0.16768000000000002,-0.03202999999999995,0.10013322123541313,-929.822076662
46,p-p-1,nocoord,58,7,8,85,2.4216508776398795,2.26983736191825,0.0298,1.05375,1.24044,0.17512,-0.18669000000000002,0.1518135157216296,-2045.9579764
47,p-p-2,nocoord,1,2,3,90,2.4258805801419823,2.277642566752957,0.04242,1.04759,1.22754,0.17601999999999995,-0.17995000000000005,0.1482380133890251,-2085.25538202
60,p-so-4,nocoord,34,1,5,92,2.426524348536606,2.0753077313504615,0.37399,1.02255,-0.93101,0.16122,1.95356,0.3512166171861444,-2404.06165331
48,p-p-3,nocoord,78,10,11,92,2.441465277630833,2.3020198144101625,0.16457,1.00995,1.18212,0.16375,-0.17217000000000016,0.13944546322067053,-2543.27945643
50,p-so-1,nocoord,46,1,5,92,2.4557321043996225,2.072498080726011,0.3846,1.02659,-0.92891,0.16132000000000002,1.9554999999999998,0.38323402367361137,-2246.86379187
52,p-so-11,nocoord,32,1,5,90,2.4468839123828494,2.0959648525139922,0.38192,1.0073,-0.94618,0.15994999999999998,1.95348,0.3509190598688572,-2477.82326303
53,p-so-12,nocoord,32,1,5,90,2.4564363591798997,2.099200438595848,0.38782,1.00116,-0.94936,0.15431999999999998,1.95052,0.35723592058405185,-2592.33287711
54,p-so-13,nocoord,26,1,5,91,2.435182862529219,2.073417662371477,0.35518,1.03719,-0.92199,0.16182000000000002,1.95918,0.36176520015774205,-2021.47261303
55,p-so-14,nocoord,16,1,5,92,2.447970434933396,2.0653413770352835,0.34774,1.03783,-0.92068,0.16477999999999998,1.95851,0.38262905789811263,-2025.09545819
56,p-so-15,nocoord,16,1,5,92,2.4475972869017895,2.0667512118581177,0.3483,1.00753,-0.91989,0.16564,1.9274200000000001,0.38084607504367174,-1791.71619454
57,p-so-16,nocoord,50,19,67,83,2.4408418092742106,2.0857052199018917,0.38954,1.04629,-0.93499,0.15281,1.98128,0.35513658937231884,-2525.10884981
58,p-so-2,nocoord,36,1,6,90,2.4372714921364422,2.0766750371374907,0.35813,1.01701,-0.92319,0.16396,1.9402,0.36059645499895154,-2017.84418769
49,p-p-4,nocoord,65,25,26,101,2.4167310515200073,2.269157892214863,0.06011,1.03053,1.19386,0.15541,-0.16332999999999998,0.14757315930514414,-1974.57467862
81,pnpo-9,nocoord,58,1,2,87,2.4946527580344724,2.110587091197139,0.42092,1.16465,-1.05556,0.15328999999999998,2.22021,0.38406566683733345,-2788.88267581
