,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled
4801,p-o-37,X-coord,-1.0-1.0,0.25,1313.0,107.0,7.535211267605634
4897,p-o-38,X-coord,-1.0-1.0,0.25,1030.0,390.0,27.464788732394368
4993,p-o-39,X-coord,-1.0-1.0,0.25,1096.0,324.0,22.816901408450704
5089,p-o-40,X-coord,-1.0-1.0,0.25,1406.0,14.0,0.9859154929577465
5185,p-o-41,X-coord,-1.0-1.0,0.25,1056.0,364.0,25.633802816901408
5281,p-o-42,X-coord,-1.0-1.0,0.25,1238.0,182.0,12.816901408450704
5377,p-o-43,X-coord,-1.0-1.0,0.25,733.0,687.0,48.38028169014085
5473,p-o-44,X-coord,-1.0-1.0,0.25,1051.0,369.0,25.985915492957748
5569,p-o-45,X-coord,-1.0-1.0,0.25,960.0,460.0,32.394366197183096
5665,p-o-46,X-coord,-1.0-1.0,0.25,890.0,530.0,37.32394366197183
5761,p-o-47,X-coord,-1.0-1.0,0.25,999.0,421.0,29.64788732394366
5857,p-o-48,X-coord,-1.0-1.0,0.25,1419.0,1.0,0.07042253521126761
5953,p-o-8,X-coord,-1.0-1.0,0.25,1139.0,281.0,19.788732394366196
6049,p-o-9,X-coord,-1.0-1.0,0.25,1366.0,54.0,3.8028169014084505
2,c-n-1,X-coord,-1.0-1.0,0.5,1341.0,79.0,5.563380281690141
98,c-n-2,X-coord,-1.0-1.0,0.5,1403.0,17.0,1.1971830985915493
194,c-n-3,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
290,c-o-1,X-coord,-1.0-1.0,0.5,1348.0,72.0,5.070422535211268
386,c-o-2,X-coord,-1.0-1.0,0.5,1231.0,189.0,13.309859154929578
482,c-o-3,X-coord,-1.0-1.0,0.5,1246.0,174.0,12.253521126760564
578,c-o-4,X-coord,-1.0-1.0,0.5,1079.0,341.0,24.014084507042252
674,c-o-5,X-coord,-1.0-1.0,0.5,1083.0,337.0,23.732394366197184
770,c-o-6,X-coord,-1.0-1.0,0.5,1102.0,318.0,22.3943661971831
866,c-o-7,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
962,c-o-8,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1058,c-p-1,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1154,c-s-1,X-coord,-1.0-1.0,0.5,1367.0,53.0,3.732394366197183
1250,n-o-1,X-coord,-1.0-1.0,0.5,1413.0,7.0,0.49295774647887325
1346,n-o-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1442,n-o-3,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1538,n-o-4,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1634,n-o-5,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1730,n-o-6,X-coord,-1.0-1.0,0.5,1417.0,3.0,0.2112676056338028
1826,p-n-1,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
1922,p-n-2,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
2018,p-n-3,X-coord,-1.0-1.0,0.5,1401.0,19.0,1.3380281690140845
2114,p-n-4,X-coord,-1.0-1.0,0.5,1206.0,214.0,15.070422535211268
2210,p-o-10,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
2306,p-o-11,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
2402,p-o-12,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
2498,p-o-13,X-coord,-1.0-1.0,0.5,1303.0,117.0,8.23943661971831
2594,p-o-14,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
2690,p-o-15,X-coord,-1.0-1.0,0.5,914.0,506.0,35.63380281690141
2786,p-o-16,X-coord,-1.0-1.0,0.5,1296.0,124.0,8.732394366197184
2882,p-o-17,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
2978,p-o-18,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
3074,p-o-19,X-coord,-1.0-1.0,0.5,1285.0,135.0,9.507042253521126
3170,p-o-20,X-coord,-1.0-1.0,0.5,1268.0,152.0,10.704225352112676
3266,p-o-21,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
3362,p-o-22,X-coord,-1.0-1.0,0.5,1230.0,190.0,13.380281690140846
3458,p-o-23,X-coord,-1.0-1.0,0.5,1193.0,227.0,15.985915492957746
3554,p-o-24,X-coord,-1.0-1.0,0.5,1044.0,376.0,26.47887323943662
3650,p-o-25,X-coord,-1.0-1.0,0.5,1230.0,190.0,13.380281690140846
3746,p-o-26,X-coord,-1.0-1.0,0.5,1281.0,139.0,9.788732394366198
3842,p-o-27,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
3938,p-o-28,X-coord,-1.0-1.0,0.5,1125.0,295.0,20.774647887323944
4034,p-o-29,X-coord,-1.0-1.0,0.5,1284.0,136.0,9.577464788732394
4130,p-o-30,X-coord,-1.0-1.0,0.5,1240.0,180.0,12.67605633802817
4226,p-o-31,X-coord,-1.0-1.0,0.5,1340.0,80.0,5.633802816901408
4322,p-o-32,X-coord,-1.0-1.0,0.5,1111.0,309.0,21.760563380281692
4418,p-o-33,X-coord,-1.0-1.0,0.5,1181.0,239.0,16.830985915492956
4514,p-o-34,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
4610,p-o-35,X-coord,-1.0-1.0,0.5,1159.0,261.0,18.380281690140844
4706,p-o-36,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
4802,p-o-37,X-coord,-1.0-1.0,0.5,1376.0,44.0,3.0985915492957745
4898,p-o-38,X-coord,-1.0-1.0,0.5,1073.0,347.0,24.43661971830986
4994,p-o-39,X-coord,-1.0-1.0,0.5,1113.0,307.0,21.619718309859156
5090,p-o-40,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
5186,p-o-41,X-coord,-1.0-1.0,0.5,1118.0,302.0,21.267605633802816
5282,p-o-42,X-coord,-1.0-1.0,0.5,1294.0,126.0,8.873239436619718
5378,p-o-43,X-coord,-1.0-1.0,0.5,866.0,554.0,39.014084507042256
5474,p-o-44,X-coord,-1.0-1.0,0.5,1209.0,211.0,14.859154929577464
5570,p-o-45,X-coord,-1.0-1.0,0.5,1073.0,347.0,24.43661971830986
5666,p-o-46,X-coord,-1.0-1.0,0.5,997.0,423.0,29.788732394366196
5762,p-o-47,X-coord,-1.0-1.0,0.5,1127.0,293.0,20.633802816901408
5858,p-o-48,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
5954,p-o-8,X-coord,-1.0-1.0,0.5,1146.0,274.0,19.295774647887324
6050,p-o-9,X-coord,-1.0-1.0,0.5,1420.0,0.0,0.0
3,c-n-1,X-coord,-1.0-1.0,0.75,1356.0,64.0,4.507042253521127
99,c-n-2,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
195,c-n-3,X-coord,-1.0-1.0,0.75,1420.0,0.0,0.0
291,c-o-1,X-coord,-1.0-1.0,0.75,1388.0,32.0,2.2535211267605635
387,c-o-2,X-coord,-1.0-1.0,0.75,1245.0,175.0,12.32394366197183
483,c-o-3,X-coord,-1.0-1.0,0.75,1294.0,126.0,8.873239436619718
579,c-o-4,X-coord,-1.0-1.0,0.75,1104.0,316.0,22.253521126760564
675,c-o-5,X-coord,-1.0-1.0,0.75,1127.0,293.0,20.633802816901408
771,c-o-6,X-coord,-1.0-1.0,0.75,1126.0,294.0,20.704225352112676
