,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE
95,p-o-36,nocoord,33.0,1.0,12.0,96,2.4908523583755424,2.1079722990566077,0.4089,0.97777,-1.05608,0.16148,2.03385,0.38288005931893476,-3080.00020218
96,p-o-37,nocoord,31.0,1.0,12.0,91,2.4398431274311467,2.0887545487110257,0.37432,0.98841,-1.04631,0.16414,2.03472,0.351088578720121,-1853.39437045
97,p-o-38,nocoord,25.0,1.0,12.0,90,2.446549106379228,2.081900458650461,0.37824,0.96494,-1.08492,0.16360999999999998,2.0498600000000002,0.36464864772876737,-2167.74689004
98,p-o-39,nocoord,17.0,1.0,12.0,89,2.4383206903500207,2.0773622453748883,0.37939,0.99064,-1.08078,0.16323,2.07142,0.3609584449751324,-2324.94228901
99,p-o-40,nocoord,17.0,1.0,12.0,90,2.421193775730683,2.0664315168536316,0.38887,1.00176,-1.09611,0.16103,2.09787,0.3547622588770514,-2393.87910189
100,p-o-41,nocoord,17.0,1.0,12.0,93,2.4510187326020176,2.0915302005629752,0.41599,0.99942,-1.05388,0.15992,2.0533,0.3594885320390424,-2308.54038146
102,p-o-43,nocoord,17.0,1.0,12.0,91,2.4355176810897925,2.0746184182384,0.41279,0.99537,-1.09114,0.15953999999999996,2.08651,0.3608992628513925,-2622.9064855
103,p-o-44,nocoord,17.0,1.0,12.0,92,2.433349412110599,2.068451707349001,0.37789,1.00058,-1.07341,0.16516000000000003,2.0739900000000002,0.364897704761598,-2790.90168368
104,p-o-45,nocoord,17.0,1.0,12.0,94,2.4527271739926557,2.092090730562372,0.41164,0.99748,-1.05578,0.15489999999999998,2.05326,0.36063644343028356,-2671.47588123
77,p-o-18,nocoord,61.0,1.0,74.0,99,2.4251779899469237,2.348823068993065,0.12577,1.03226,-0.3659,0.16375,1.3981599999999998,0.07635492095385876,-2578.10005567
91,p-o-32,nocoord,53.0,28.0,5.0,91,2.4241599371687506,2.0850203418472923,0.39664,1.01953,-1.02816,0.15099,2.0476900000000002,0.3391395953214582,-3207.89407679
76,p-o-17,nocoord,62.0,1.0,35.0,91,2.433405596129219,2.0806379394178602,0.3748,1.00378,-1.05626,0.16069,2.06004,0.3527676567113587,-2255.12776102
53,c-o-5,nocoord,7.0,14.0,32.0,92,2.1296898781092515,2.085629037901755,0.40323,0.22345,-0.93299,0.17407,1.15644,0.044060840207496454,-1714.00002632
74,p-o-15,nocoord,31.0,1.0,4.0,95,2.4707708078662414,2.0961510280592854,0.41245,0.98692,-1.04122,0.15802999999999998,2.02814,0.37461977980695593,-2731.57230645
46,c-n-1,nocoord,7.0,14.0,20.0,84,2.097218972465441,2.050283222092499,0.33113,0.24361,-0.86651,0.15855000000000002,1.11012,0.04693575037294195,-1844.06494126
47,c-n-2,nocoord,7.0,14.0,27.0,90,2.1396459693879266,2.157782033035543,0.37354,0.21914,-0.37519,0.17679999999999998,0.59433,-0.01813606364761622,-1145.90958639
48,c-n-3,nocoord,7.0,14.0,63.0,84,2.1044800843196403,2.2060403486205775,0.38173,0.24008,-0.40066,0.16879,0.64074,-0.10156026430093723,-1450.86453196
49,c-o-1,nocoord,7.0,14.0,41.0,87,2.080869116981892,2.0279014280543817,0.39489,0.32829,-0.64436,0.14873,0.97265,0.05296768892751036,-1240.32616795
50,c-o-2,nocoord,7.0,14.0,64.0,81,2.117489529622756,2.134671318842786,0.46711,0.2329,-1.07081,0.17127,1.3037100000000001,-0.017181789220030108,-1822.16826179
51,c-o-3,nocoord,7.0,14.0,61.0,88,2.148634355965202,2.078817506434608,0.44561,0.18737,-1.06803,0.15833000000000003,1.2554,0.0698168495305942,-1975.71226983
52,c-o-4,nocoord,7.0,14.0,41.0,88,2.094222147168251,2.0222891963557044,0.39713,0.32129,-0.64348,0.14942,0.9647700000000001,0.0719329508125468,-1358.2050532
105,p-o-8,nocoord,33.0,1.0,4.0,89,2.4433243425196336,2.0794552915814277,0.38382,0.99616,-1.05366,0.16143,2.04982,0.3638690509382059,-2333.71642021
54,c-o-6,nocoord,7.0,14.0,62.0,88,2.0823953817260548,2.0227171981475807,0.36912,0.22004,-0.63178,0.15417,0.85182,0.0596781835784741,-1433.20196554
55,c-o-7,nocoord,38.0,11.0,22.0,89,2.0804378562093606,2.0204665882676704,0.38297,0.21746,-0.6308,0.15485,0.84826,0.059971267941690165,-1315.31949107
56,c-o-8,nocoord,37.0,11.0,22.0,88,2.08482599793412,2.019187835816668,0.38514,0.21607,-0.64047,0.1542,0.85654,0.06563816211745221,-1664.1713416
57,c-p-1,nocoord,6.0,13.0,19.0,80,2.0160894066494173,2.4172853006083086,0.16741,0.32566,1.05174,0.18480000000000002,-0.7260799999999998,-0.4011958939588913,-1697.96995214
58,c-s-1,nocoord,7.0,38.0,14.0,92,2.5562841515842876,2.00545540592081,0.20202,0.39568,0.31677,0.18373,0.07890999999999998,0.5508287456634777,-1331.58560098
75,p-o-16,nocoord,81.0,1.0,44.0,82,2.4269191935600163,2.095629371991622,0.40767,1.01914,-1.05426,0.15447999999999998,2.0734,0.33128982156839415,-2562.73747143
59,n-o-1,nocoord,7.0,47.0,31.0,91,2.128393461226096,2.020788870659179,0.49887,-0.5005,-0.61144,0.14856,0.11094000000000004,0.10760459056691696,-1379.30007721
61,n-o-3,nocoord,7.0,33.0,30.0,90,2.145978553097165,2.0176778266824464,0.50082,-0.49104,-0.64588,0.14848,0.15484000000000003,0.12830072641471846,-1343.38547637
62,n-o-4,nocoord,7.0,33.0,30.0,90,2.1243628308883586,2.016471663253913,0.50198,-0.49736,-0.64699,0.15178,0.14962999999999993,0.10789116763444584,-1421.98509058
63,n-o-5,nocoord,7.0,33.0,30.0,90,2.1456605128551907,2.017872192727032,0.50118,-0.49133,-0.64592,0.14842,0.15459000000000006,0.12778832012815844,-1461.27184743
64,n-o-6,nocoord,7.0,41.0,30.0,90,2.121520565758909,2.0173828209710223,0.50931,-0.50209,-0.65043,0.15179,0.14833999999999992,0.10413774478788662,-1579.16423554
65,p-n-1,nocoord,29.0,1.0,43.0,83,2.3729774454223116,2.184907960642965,0.32789,1.0614,-0.40603,0.15456,1.4674299999999998,0.18806948477934649,-1528.33840059
66,p-n-2,nocoord,10.0,1.0,23.0,84,2.3910394604249006,2.1687832581844133,0.32282,1.0414,-0.40735,0.16098999999999997,1.44875,0.22225620224048726,-1380.80279838
67,p-n-3,nocoord,10.0,1.0,23.0,84,2.3715484284679915,2.166068920550775,0.30342,1.07813,-0.40627,0.16038,1.4844,0.2054795079172167,-1535.58922604
68,p-n-4,nocoord,10.0,1.0,23.0,84,2.3851372281841563,2.1686535859749476,0.3094,1.06744,-0.41019,0.15917,1.47763,0.21648364220920868,-1845.16079053
69,p-o-10,nocoord,1.0,2.0,26.0,81,2.4331538786110505,2.1101273299926713,0.36801,1.00929,-0.55214,0.15611999999999998,1.56143,0.3230265486183792,-1399.48998141
70,p-o-11,nocoord,1.0,2.0,26.0,79,2.4229682064686693,2.0844271717695007,0.35681,1.19182,-0.57516,0.16769,1.7669800000000002,0.33854103469916863,-1454.84926
71,p-o-12,nocoord,31.0,1.0,46.0,82,2.3952647070998228,2.0359406119425487,0.33238,1.02724,-0.66221,0.14286000000000001,1.68945,0.35932409515727404,-1626.38156833
72,p-o-13,nocoord,31.0,1.0,4.0,94,2.4542554514253396,2.0942185379842764,0.39753,0.99502,-1.03531,0.15550999999999998,2.03033,0.36003691344106326,-2502.55734084
73,p-o-14,nocoord,29.0,1.0,43.0,82,2.4029859553798896,2.037080594813568,0.35893,1.03013,-0.66832,0.13988,1.69845,0.3659053605663214,-2012.58179286
60,n-o-2,nocoord,7.0,33.0,30.0,90,2.125028111193591,2.016331494113257,0.50126,-0.5,-0.64676,0.1516,0.14676,0.10869661708033407,-1382.68655268
106,p-o-9,nocoord,33.0,1.0,4.0,94,2.4533808845774434,2.0930520605732674,0.37722,0.99476,-1.03273,0.16295,2.02749,0.360328824004176,-2273.54656978
