,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
3159,p-o-10,Y-coord,-1.0-1.0,0.25,1328.0,92.0,6.47887323943662,49,0.2543773660034175,1.6480787093179161
3160,p-o-11,Y-coord,-1.0-1.0,0.25,1246.0,174.0,12.253521126760564,49,0.2543773660034175,3.1170184284925804
3161,p-o-12,Y-coord,-1.0-1.0,0.25,1305.0,115.0,8.098591549295774,49,0.2543773660034175,2.060098386647395
3162,p-o-13,Y-coord,-1.0-1.0,0.25,1042.0,378.0,26.619718309859156,49,0.2543773660034175,6.771453827414916
3163,p-o-14,Y-coord,-1.0-1.0,0.25,1181.0,239.0,16.830985915492956,49,0.2543773660034175,4.2814218644237165
3164,p-o-15,Y-coord,-1.0-1.0,0.25,1042.0,378.0,26.619718309859156,49,0.2543773660034175,6.771453827414916
3165,p-o-16,Y-coord,-1.0-1.0,0.25,1175.0,245.0,17.253521126760564,49,0.2543773660034175,4.388905258509668
3166,p-o-17,Y-coord,-1.0-1.0,0.25,1133.0,287.0,20.211267605633804,49,0.2543773660034175,5.141289017111325
3167,p-o-18,Y-coord,-1.0-1.0,0.25,789.0,631.0,44.436619718309856,49,0.2543773660034175,11.303670278039185
3168,p-o-19,Y-coord,-1.0-1.0,0.25,1073.0,347.0,24.43661971830986,49,0.2543773660034175,6.2161229579708355
3169,p-o-20,Y-coord,-1.0-1.0,0.25,1118.0,302.0,21.267605633802816,49,0.2543773660034175,5.409997502326203
3170,p-o-21,Y-coord,-1.0-1.0,0.25,972.0,448.0,31.549295774647888,49,0.2543773660034175,8.025426758417678
3171,p-o-22,Y-coord,-1.0-1.0,0.25,1002.0,418.0,29.43661971830986,49,0.2543773660034175,7.488009787987923
3172,p-o-23,Y-coord,-1.0-1.0,0.25,1154.0,266.0,18.732394366197184,49,0.2543773660034175,4.765097137810496
3173,p-o-24,Y-coord,-1.0-1.0,0.25,1370.0,50.0,3.5211267605633805,49,0.2543773660034175,0.8956949507162588
3174,p-o-25,Y-coord,-1.0-1.0,0.25,1002.0,418.0,29.43661971830986,49,0.2543773660034175,7.488009787987923
3175,p-o-26,Y-coord,-1.0-1.0,0.25,1258.0,162.0,11.408450704225352,49,0.2543773660034175,2.9020516403206784
3176,p-o-27,Y-coord,-1.0-1.0,0.25,1211.0,209.0,14.71830985915493,49,0.2543773660034175,3.7440048939939614
3177,p-o-28,Y-coord,-1.0-1.0,0.25,1092.0,328.0,23.098591549295776,49,0.2543773660034175,5.875758876698658
3178,p-o-29,Y-coord,-1.0-1.0,0.25,1219.0,201.0,14.154929577464788,49,0.2543773660034175,3.60069370187936
3179,p-o-30,Y-coord,-1.0-1.0,0.25,1151.0,269.0,18.943661971830984,49,0.2543773660034175,4.818838834853471
3180,p-o-31,Y-coord,-1.0-1.0,0.25,961.0,459.0,32.32394366197183,49,0.2543773660034175,8.222479647575256
3181,p-o-32,Y-coord,-1.0-1.0,0.25,1197.0,223.0,15.704225352112676,49,0.2543773660034175,3.994799480194514
3182,p-o-33,Y-coord,-1.0-1.0,0.25,1017.0,403.0,28.380281690140844,49,0.2543773660034175,7.2193013027730455
3183,p-o-34,Y-coord,-1.0-1.0,0.25,1114.0,306.0,21.549295774647888,49,0.2543773660034175,5.481653098383504
3184,p-o-35,Y-coord,-1.0-1.0,0.25,1009.0,411.0,28.943661971830984,49,0.2543773660034175,7.362612494887647
3185,p-o-36,Y-coord,-1.0-1.0,0.25,840.0,580.0,40.84507042253521,49,0.2543773660034175,10.3900614283086
3186,p-o-37,Y-coord,-1.0-1.0,0.25,1109.0,311.0,21.901408450704224,49,0.2543773660034175,5.571222593455129
3187,p-o-38,Y-coord,-1.0-1.0,0.25,1015.0,405.0,28.52112676056338,49,0.2543773660034175,7.255129100801696
3188,p-o-39,Y-coord,-1.0-1.0,0.25,1038.0,382.0,26.901408450704224,49,0.2543773660034175,6.8431094234722165
3189,p-o-40,Y-coord,-1.0-1.0,0.25,1138.0,282.0,19.859154929577464,49,0.2543773660034175,5.051719522039699
3190,p-o-41,Y-coord,-1.0-1.0,0.25,1069.0,351.0,24.718309859154928,49,0.2543773660034175,6.287778554028136
3191,p-o-42,Y-coord,-1.0-1.0,0.25,1155.0,265.0,18.661971830985916,49,0.2543773660034175,4.747183238796172
3192,p-o-43,Y-coord,-1.0-1.0,0.25,998.0,422.0,29.718309859154928,49,0.2543773660034175,7.559665384045223
3193,p-o-44,Y-coord,-1.0-1.0,0.25,1147.0,273.0,19.225352112676056,49,0.2543773660034175,4.890494430910772
